Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
dazed,5,706,6.56,604.59,-0.62,155.23,32,0.94
dazzle,6,253,5.53,654.97,-0.45,200.88,31,0.94
dazzled,7,132,4.88,680.12,-0.47,352.68,34,0.97
dazzles,7,14,2.64,717.82,-0.15,211.35,33,0.97
dazzling,8,464,6.14,635.88,-0.45,148.41,34,0.97
deacon,6,485,6.18,757.48,-0.12,255.25,23,0.77
deacons,7,172,5.15,788.19,0.09,230.5,26,0.76
deactivated,11,286,5.66,862.28,0.27,257.11,32,0.94
deactivation,12,73,4.29,993.96,0.78,435.77,25,0.81
dead,4,72864,11.2,593.8,-0.74,175.34,35,1
deaden,6,91,4.51,920.26,0.29,438.67,19,0.56
deadened,8,41,3.71,1008.57,0.64,496.78,21,0.66
deadheads,9,392,5.97,897.21,0.09,331.36,28,0.88
deadliest,9,445,6.1,730.5,-0.1,195.15,28,0.85
deadline,8,6286,8.75,649.03,-0.51,256.69,32,0.97
deadlines,9,1620,7.39,678.91,-0.3,281.91,35,1
deadliness,10,18,2.89,771.86,-0.14,343.93,29,0.91
deadlock,8,570,6.35,715.42,-0.34,229.96,33,1
deadly,6,5362,8.59,592.68,-0.61,133.28,34,1
deadness,8,12,2.48,814.84,0.12,302.23,31,0.89
deadpan,7,131,4.88,785.96,0.19,246.67,24,0.75
deadweight,10,33,3.5,892.21,0.68,310.88,28,0.85
deadwood,8,86,4.45,711.06,-0.15,197.03,31,0.97
deaf,4,6119,8.72,580.94,-0.63,128.23,32,0.97
deafen,6,70,4.25,934.5,0.38,450.53,20,0.65
deafened,8,56,4.03,888.88,0.22,376.46,26,0.76
deal,4,83766,11.34,601.82,-0.66,230.35,34,1
dealer,6,17655,9.78,675.64,-0.43,367.47,33,1
dealers,7,11289,9.33,633.88,-0.57,198.87,33,1
dealer's,8,916,6.82,715.44,-0.21,258.74,32,0.97
dealerships,11,393,5.97,919.03,0.33,374.42,32,1
dealing,7,21491,9.98,613,-0.51,152.56,33,0.97
dealings,8,1726,7.45,716.88,-0.24,250.81,33,0.97
deals,5,14115,9.55,601.49,-0.64,189.37,35,1
dealt,5,8200,9.01,667.39,-0.38,241.29,31,0.94
dean,4,14488,9.58,635.65,-0.55,166.11,34,1
deans,5,323,5.78,705.92,-0.22,198.25,26,0.81
dean's,6,687,6.53,660.48,-0.46,186.48,33,0.97
dear,4,29554,10.29,600.12,-0.78,217.8,33,1
Dearborn,8,697,6.55,762.1,0.1,227.89,20,0.67
dearer,6,49,3.89,802.67,0.1,339.1,27,0.87
dearest,7,583,6.37,711.81,-0.32,268.39,32,0.94
dearie,6,143,4.96,1065.75,0.67,527.88,12,0.36
dearly,6,1204,7.09,625.66,-0.57,159.28,32,0.94
dearth,6,377,5.93,977.3,0.87,503.07,10,0.3
deary,5,73,4.29,904.5,0.61,290.66,18,0.58
death,5,77796,11.26,545.53,-0.85,127.45,32,1
deathbed,8,346,5.85,770.81,0.03,263.38,31,0.91
deathblow,9,216,5.38,877.19,0.24,249.9,31,0.89
deathly,7,198,5.29,632.13,-0.42,180.08,30,0.94
deaths,6,6155,8.73,652.71,-0.53,244.43,35,1
deathward,9,20,3,1013.58,0.74,375.02,24,0.8
deathwatch,10,239,5.48,880.33,0.21,479.71,30,0.86
debacle,7,705,6.56,804.38,0.3,280.39,16,0.53
debark,6,10,2.3,957.06,0.6,375.89,16,0.47
debarkation,11,16,2.77,674,-0.14,NULL,1,0.03
debase,6,87,4.47,761.27,0.07,246.27,26,0.76
debasement,10,95,4.55,977.7,0.88,337.83,20,0.63
debatable,9,1131,7.03,925,0.32,374.06,32,0.97
debate,6,26957,10.2,592.74,-0.56,186.88,34,0.97
debated,7,1975,7.59,669.88,-0.33,142.56,33,0.97
debates,7,3027,8.02,692.71,-0.35,260.18,34,1
debating,8,3087,8.03,694.55,-0.29,183.85,33,1
debauch,7,17,2.83,888.45,0.42,204.05,11,0.34
debauchery,10,203,5.31,787.9,0.2,396.25,21,0.64
debilitate,10,18,2.89,1000.56,1.02,319.88,27,0.82
debilitated,11,45,3.81,1038.2,0.81,432.32,20,0.65
debilitating,12,477,6.17,977.79,0.59,413.36,28,0.88
debility,8,15,2.71,855.76,0.47,271.25,17,0.53
debit,5,663,6.5,714.7,-0.19,275.54,30,0.94
debonair,8,34,3.53,799.47,0.38,179.3,17,0.52
debone,6,5,1.61,869.5,0.45,337.04,20,0.59
debrief,7,45,3.81,759.58,-0.09,261.23,31,0.89
debris,6,1761,7.47,688.79,-0.22,199.63,33,0.97
debt,4,14192,9.56,727.65,-0.39,285.03,34,1
debtor,6,309,5.73,809.04,-0.05,274.44,28,0.9
debts,5,2235,7.71,599.81,-0.68,160.17,32,0.97
debug,5,6324,8.75,771.92,0.01,239.05,25,0.76
debunk,6,398,5.99,853.29,0.29,214.12,17,0.52
debunking,9,456,6.12,909.14,0.4,447.17,21,0.62
debut,5,2953,7.99,706.9,-0.29,231.47,29,0.94
debutante,9,38,3.64,1028.8,0.82,396.03,15,0.44
debuting,8,51,3.93,879.48,0.09,516.91,25,0.81
debuts,6,167,5.12,774.32,0.01,347.79,28,0.82
decade,6,6998,8.85,632.47,-0.58,172.92,32,1
decadence,9,349,5.86,1020.45,0.49,497.64,31,0.89
decadent,8,386,5.96,699.44,-0.15,178.87,25,0.76
decades,7,7923,8.98,638.09,-0.5,173.34,35,1
decamp,6,63,4.14,1015.63,0.55,431.09,16,0.5
decant,6,45,3.81,742.14,-0.02,276.88,28,0.85
decanted,8,17,2.83,960.32,0.4,316.38,22,0.69
decanter,8,40,3.69,810.58,0.25,283.74,24,0.73
decanting,9,12,2.48,869.83,0.28,296.86,24,0.73
decapitate,10,67,4.2,930.39,0.66,280.98,23,0.77
decapitation,12,114,4.74,1053.29,1.01,328.3,28,0.9
decathlon,9,151,5.02,1008.15,0.58,349.99,20,0.63
Decatur,7,565,6.34,794.16,0.28,284.36,19,0.58
decay,5,3565,8.18,685.15,-0.36,323.12,34,1
decayed,7,260,5.56,726.41,-0.28,198.43,34,1
decaying,8,558,6.32,756.97,-0.19,229.55,34,1
decays,6,483,6.18,720.78,-0.13,226.99,32,0.97
decease,7,59,4.08,652.12,-0.34,203.42,33,1
deceased,8,1931,7.57,692.13,-0.25,188.44,32,0.97
decedent,8,48,3.87,762.9,-0.06,213.72,29,0.91
deceit,6,921,6.83,749.46,0.01,228.73,28,0.85
deceitful,9,440,6.09,804,0.22,222.9,28,0.85
deceit's,8,0,0,815.25,0.29,237.18,20,0.61
deceive,7,1300,7.17,670.79,-0.24,186.85,34,1
deceived,8,894,6.8,829.8,-0.01,344.4,35,1
deceives,8,59,4.08,725.94,-0.04,193.29,31,0.94
deceiving,9,580,6.36,725.88,-0.31,318.47,34,1
decelerate,10,109,4.69,1097.19,0.86,424.28,21,0.7
deceleration,12,295,5.69,936.39,0.67,418.21,28,0.88
December,8,23815,10.08,620.45,-0.56,214.31,33,0.97
decencies,9,1,0,857.48,0.45,195.69,21,0.64
decency,7,5697,8.65,747.19,-0.2,207.74,31,0.94
decent,6,22901,10.04,683.85,-0.4,218,33,0.97
decently,8,611,6.42,806.62,-0.11,301.13,34,0.97
decentralization,16,248,5.51,1007.5,0.8,358.14,30,0.91
decentralize,12,82,4.41,989.7,0.69,382.41,30,0.88
decentralizing,14,46,3.83,931.12,0.61,350.96,33,1
deception,9,2045,7.62,772.45,-0.09,275.11,31,0.97
deceptive,9,1232,7.12,745.03,-0.23,345.48,29,0.91
deceptively,11,205,5.32,806.28,0.15,270.56,32,0.97
decertify,9,36,3.58,1053.88,1.21,357.33,16,0.5
decibel,7,282,5.64,789.14,0.13,274.43,21,0.62
decide,6,35825,10.49,605.36,-0.61,171.07,33,0.97
decided,7,49697,10.81,709,-0.35,250.92,30,0.94
decidedly,9,1095,7,773.82,0.2,276.62,28,0.88
decides,7,6983,8.85,769.21,-0.32,317.04,34,1
deciding,8,5757,8.66,656.62,-0.48,200.18,34,0.97
deciduous,9,92,4.52,868.67,0.65,191.51,15,0.47
decimal,7,2758,7.92,745.21,-0.19,381.64,33,0.97
decimals,8,273,5.61,712.39,-0.33,312.46,33,1
decimate,8,159,5.07,826.38,0.24,309.5,24,0.75
decimation,10,108,4.68,1041.12,0.82,417.32,26,0.81
decipher,8,1106,7.01,759.85,-0.07,299.57,26,0.84
decision,8,36601,10.51,612.65,-0.47,157.08,34,0.97
decisions,9,15390,9.64,706.58,-0.3,273,31,0.94
decisive,8,1324,7.19,774.17,-0.17,311.2,30,0.94
decisively,10,427,6.06,855.85,0.15,446.32,34,1
decisiveness,12,72,4.28,961.82,0.49,404.32,33,0.94
deck,4,28755,10.27,659.38,-0.47,180.56,32,0.97
decked,6,249,5.52,791.97,0,275.23,32,0.97
deckhand,8,7,1.95,866.84,0.31,250.17,19,0.63
decking,7,91,4.51,749,-0.07,200.1,29,0.88
decks,5,6629,8.8,675.34,-0.33,234.54,32,1
declaimed,9,16,2.77,790,0.04,288.33,28,0.82
declamation,11,13,2.56,956.14,0.65,382.95,22,0.73
declamatory,11,5,1.61,1049.42,0.82,377.64,19,0.63
declaration,11,7333,8.9,751.76,-0.14,275.74,34,1
declarations,12,1841,7.52,844.68,0.14,357.19,34,0.97
declarative,11,293,5.68,910.73,0.12,509.95,30,0.88
declaratory,11,283,5.65,834.64,0.17,271.44,22,0.81
declare,7,8390,9.03,657.82,-0.45,294.32,33,1
declared,8,10861,9.29,612.34,-0.48,114.08,32,0.97
declares,8,1926,7.56,723.91,-0.23,248.23,32,0.97
declaring,9,2311,7.75,693.03,-0.32,326.41,33,0.97
declassification,16,47,3.85,1112.65,1.07,273.01,31,0.97
declassify,10,41,3.71,967.2,0.38,316.1,25,0.76
declension,10,71,4.26,820.5,0.41,161.04,4,0.12
declination,11,236,5.46,737.12,0.25,160.86,26,0.84
declinations,12,12,2.48,911.73,0.37,352.09,30,1
decline,7,6068,8.71,606.65,-0.6,183.49,34,1
declined,8,2937,7.99,666.06,-0.4,182.43,33,1
declines,8,764,6.64,756.47,-0.24,372.35,30,0.97
declining,9,1694,7.43,709.58,-0.27,195.22,33,0.97
declivity,9,0,0,630.2,-0.27,233.09,5,0.16
decode,6,4620,8.44,745.47,-0.14,333.36,30,0.88
decolonization,14,58,4.06,894.37,0.57,191.29,27,0.87
decolonize,10,4,1.39,918.45,0.6,308.52,22,0.65
decompose,9,259,5.56,744.41,-0.11,171.7,32,1
decomposes,10,127,4.84,837.45,0.21,313.11,29,0.85
decomposing,11,164,5.1,834.61,0.14,414.85,31,0.94
decomposition,13,586,6.37,845.88,0.03,319.18,33,0.97
decompress,10,1077,6.98,866.27,0.3,336.72,30,0.94
decompression,13,1374,7.23,860.35,0.44,323.67,31,0.94
decongestant,12,83,4.42,980.61,0.9,274.99,23,0.72
decontaminate,13,10,2.3,1230.53,1.17,577.03,17,0.55
decontamination,15,140,4.94,992.36,0.84,351.1,22,0.79
decor,5,573,6.35,739.78,-0.17,214.52,27,0.84
decorate,8,390,5.97,751.42,-0.26,239.14,33,1
decorated,9,1664,7.42,802.09,0.01,234.05,33,0.97
decorating,10,392,5.97,685.91,-0.26,277.73,32,0.97
decoration,10,636,6.46,820.72,0.22,298.18,32,0.97
decorations,11,816,6.7,764.65,-0.19,246.34,31,0.94
decorative,10,807,6.69,824.46,0.06,444.62,35,1
decorativeness,14,0,0,1142.04,1.08,351.09,26,0.96
decorator,9,171,5.14,803.63,0,273.17,30,0.94
decorators,10,41,3.71,919.17,0.33,431.05,30,0.94
decorticated,12,3,1.1,1052.88,1.38,330.78,8,0.31
decorum,7,295,5.69,826.91,0.33,222.75,23,0.68
decoy,5,360,5.89,730.1,-0.21,261.4,31,0.94
decrease,8,6441,8.77,689.32,-0.48,221.18,34,1
decreased,9,2983,8,649,-0.37,206.49,30,0.94
decreases,9,1771,7.48,703.22,-0.26,206.66,32,0.94
decreasing,10,1824,7.51,708.94,-0.25,223.3,33,1
decree,6,2144,7.67,770.03,0.04,313.25,29,0.85
decreed,7,528,6.27,819.4,0.18,317.48,25,0.76
decreeing,9,39,3.66,949.83,0.69,523.65,12,0.35
decrees,7,472,6.16,822.95,0.17,337.35,20,0.69
decrement,9,244,5.5,878.92,0.43,305.9,24,0.77
decrepit,8,188,5.24,801.39,0.47,190.17,18,0.6
decried,7,206,5.33,909.42,0.73,384.62,19,0.56
decries,7,54,3.99,790,0.44,263.42,19,0.56
decry,5,326,5.79,999.59,0.39,527.33,17,0.5
decrying,8,191,5.25,882.92,0.49,283.68,13,0.39
dedicate,8,838,6.73,721.22,-0.2,250.53,32,0.97
dedicated,9,18079,9.8,830.71,-0.03,456.39,34,1
dedicates,9,108,4.68,830.06,0.13,277.54,32,0.97
dedication,10,2104,7.65,762.85,0.01,244.58,33,0.97
deduce,6,805,6.69,870.43,0.13,424.38,28,0.82
deduced,7,568,6.34,695.04,-0.11,245.77,28,0.88
deducible,9,19,2.94,790.72,0.01,251.06,25,0.86
deducing,8,52,3.95,832.25,0.08,353.25,28,0.85
deduct,6,1152,7.05,676.71,-0.42,187.22,28,0.88
deducted,8,704,6.56,693.87,-0.21,247.5,31,0.94
deductibility,13,65,4.17,1025.5,0.69,483.65,26,0.9
deductible,10,1350,7.21,820.77,0.06,289.23,35,1
deductibles,11,69,4.23,861.77,0.21,281.57,30,0.94
deducting,9,90,4.5,731.48,-0.03,191.18,31,0.97
deduction,9,3361,8.12,720.15,-0.25,232.69,33,1
deductions,10,1575,7.36,733.45,-0.19,215.49,33,0.97
deductive,9,513,6.24,830.8,0.08,406.85,30,0.91
deed,4,1981,7.59,659,-0.57,163.98,32,0.97
deeds,5,2394,7.78,608.41,-0.72,134.34,34,1
deem,4,1103,7.01,857.85,0.08,347.25,26,0.79
deemed,6,3507,8.16,755.96,-0.07,318.04,28,0.82
deeming,7,64,4.16,735.91,-0.13,180.08,23,0.66
deep,4,42695,10.66,560.38,-0.74,137.03,34,1
deepen,6,259,5.56,692.23,-0.21,220.84,31,0.94
deepened,8,219,5.39,905.04,0.1,407.95,28,0.82
deepening,9,369,5.91,873.42,0.36,303.58,31,0.91
deeper,6,7003,8.85,631.74,-0.52,172.93,31,0.91
deepest,7,1545,7.34,634.03,-0.5,173.31,32,0.94
deeply,6,7942,8.98,613.41,-0.65,150.49,32,1
deeps,5,55,4.01,668.86,-0.47,221.21,29,0.85
deer,4,4911,8.5,580.91,-0.73,168.93,34,1
deerskin,8,53,3.97,782.2,0.02,244.58,30,0.91
deerskins,9,0,0,828.76,0.1,286.88,29,0.85
deerstalker,11,20,3,992.55,0.79,302.18,20,0.63
deface,6,38,3.64,728.29,-0.18,210.63,34,0.94
defacement,10,27,3.3,863.42,0.3,231.6,26,0.84
defacing,8,61,4.11,798.87,0.08,277.76,31,0.91
defamation,10,669,6.51,859.13,0.26,330.17,23,0.68
defame,6,417,6.03,811.05,0.05,391.74,22,0.69
default,7,29719,10.3,637.59,-0.43,127.29,32,0.97
defaulted,9,428,6.06,800.85,-0.14,399.77,33,0.97
defeat,6,7657,8.94,796.23,0.05,363.99,35,1
defeated,8,4556,8.42,702.73,-0.25,236.72,33,1
defeating,9,1038,6.95,770.93,-0.19,296.57,29,0.97
defeatism,9,24,3.18,816.35,0.32,310.16,20,0.65
defeatists,10,6,1.79,1032.79,0.74,360.04,14,0.44
defeats,7,1385,7.23,669.25,-0.33,190.64,32,0.97
defecate,8,126,4.84,900.53,0.42,252.28,34,0.97
defecated,9,35,3.56,930.69,0.57,358.07,16,0.57
defecation,10,131,4.88,920.4,0.67,290.45,25,0.76
defect,6,2795,7.94,760.06,-0.29,262.6,32,0.94
defection,9,158,5.06,774.68,-0.03,307.24,31,0.91
defective,9,2880,7.97,732.77,-0.12,299.82,31,0.91
defector,8,183,5.21,799.96,0.12,233.5,26,0.84
defects,7,3536,8.17,672.03,-0.34,186.15,32,0.97
defence,7,6847,8.83,832.78,0.26,324.35,23,0.74
defend,6,15251,9.63,685.26,-0.57,337.68,31,0.94
defendant,9,2779,7.93,802.19,-0.06,317.1,32,0.97
defendants,10,2520,7.83,766.85,0.12,226.5,33,0.97
defendant's,11,377,5.93,747,-0.11,256.34,30,0.97
defended,8,2432,7.8,690.31,-0.4,246.32,32,0.97
defender,8,6112,8.72,679.44,-0.33,247.29,32,0.97
defenders,9,3221,8.08,656.72,-0.35,167.12,32,0.97
defending,9,6782,8.82,625.75,-0.47,178.24,32,0.97
defends,7,743,6.61,630,-0.5,161.28,34,1
defense,7,31710,10.36,672.06,-0.38,270.23,32,0.97
defenseless,11,686,6.53,782.1,0.02,437.02,30,0.97
defenses,8,1889,7.54,695.69,-0.21,166.36,32,0.91
defensible,10,439,6.08,836.03,0.26,257.09,29,0.91
defensive,9,5958,8.69,664.09,-0.35,270.61,34,1
defensiveness,13,180,5.19,948.86,0.59,317.88,29,0.94
defer,5,762,6.64,893.09,0.09,305.52,23,0.7
deference,9,315,5.75,861.07,0.18,370.41,29,0.88
deferent,8,8,2.08,720.71,0.15,139.07,14,0.42
deferential,11,60,4.09,1036.15,0.88,351.78,26,0.79
deferents,9,0,0,950.28,0.79,279.35,18,0.64
deferment,9,84,4.43,929.32,0.59,337.47,19,0.58
deferments,10,57,4.04,959.52,0.41,315.92,23,0.72
deferred,8,739,6.61,792.17,0.06,263.22,30,0.91
deferring,9,300,5.7,744.25,-0.18,234.18,28,0.82
defiance,8,765,6.64,781.09,0.02,292.9,33,1
defiant,7,1114,7.02,776.03,-0.14,469.66,30,0.88
deficiencies,12,1109,7.01,949.07,0.64,341.12,27,0.84
deficiency,10,1922,7.56,817.65,-0.05,379.98,34,0.97
deficient,9,887,6.79,745.74,-0.03,261.79,31,0.94
deficit,7,8131,9,848.54,0.14,241.25,28,0.9
deficits,8,1715,7.45,800.42,0.15,222.23,26,0.84
defied,6,254,5.54,733.54,-0.11,248.21,24,0.75
defile,6,175,5.16,797.15,0.09,283.45,27,0.79
definable,9,401,5.99,1019.47,0.54,500.53,32,0.97
define,6,24310,10.1,589.03,-0.55,161.57,32,0.97
defined,7,25213,10.14,658.71,-0.48,203.18,34,1
defines,7,5363,8.59,713.19,-0.23,219.53,32,0.94
defining,8,5563,8.62,700.16,-0.13,214.9,31,0.91
definite,8,6226,8.74,831.26,-0.12,495.41,34,0.97
definitely,10,34229,10.44,672.88,-0.33,173.43,33,0.97
definition,10,109857,11.61,671.13,-0.33,237.2,31,0.91
definitions,11,8756,9.08,756.06,-0.12,268.75,33,1
definitive,10,4030,8.3,723.17,-0.21,190.27,30,0.94
deflate,7,245,5.5,791.38,-0.12,307.1,29,0.91
deflated,8,169,5.13,749.38,0.07,213.48,32,0.97
deflation,9,149,5,801.03,0.02,312.68,32,0.94
deflect,7,522,6.26,769.36,-0.08,278.68,28,0.9
deflection,10,1717,7.45,881.19,0.15,239.08,26,0.76
deflower,8,24,3.18,881.7,0.33,233.83,20,0.61
defocusing,10,6,1.79,1161.57,1.07,471.96,28,0.93
deforest,8,159,5.07,901.48,0.36,333.49,31,0.91
deform,6,148,5,720.83,-0.09,234.79,30,0.91
deformation,11,486,6.19,919.73,0.35,311.04,33,0.97
deformational,13,1,0,1134.86,1.24,392.15,21,0.72
deformities,11,151,5.02,915.54,0.62,293.99,28,0.82
deformity,9,166,5.11,824.97,-0.01,402.47,31,0.91
defraud,7,276,5.62,797.93,-0.02,430.92,30,0.88
defray,6,284,5.65,809.9,0.25,247.9,21,0.62
defrost,7,310,5.74,682.21,-0.32,258.9,28,0.8
defroster,9,122,4.8,811.41,0.09,251.51,29,0.88
deft,4,199,5.29,711.6,-0.32,239.65,20,0.59
deftness,8,6,1.79,922.92,0.62,300.86,12,0.38
defunct,7,1556,7.35,835.82,0.01,314.89,17,0.52
defuse,6,236,5.46,780.03,-0.04,377.06,31,0.94
defy,4,1119,7.02,722.43,-0.22,280.82,30,0.91
defying,7,260,5.56,841.53,0.02,339.55,30,0.94
Degas,5,101,4.62,852.29,0.74,272.2,7,0.21
degassed,8,9,2.2,1094.6,0.48,102.57,5,0.15
degenerate,10,1032,6.94,801.41,0.08,185.55,32,0.97
degenerated,11,441,6.09,911.62,0.33,272.01,29,0.94
degeneration,12,382,5.95,903.03,0.25,379.04,29,0.97
degenerative,12,291,5.67,967.72,0.6,331.87,25,0.83
degradation,11,1827,7.51,882.04,0.17,345.56,26,0.9
degrade,7,1194,7.09,716,-0.3,183.05,27,0.82
degraded,8,927,6.83,756.16,-0.12,207.8,32,0.91
degrading,9,1064,6.97,667.55,-0.29,151.69,33,0.97
degree,6,42088,10.65,678.64,-0.31,295.62,33,0.97
degrees,7,18124,9.8,683.27,-0.36,260.16,33,1
dehorn,6,3,1.1,861.7,0.38,185.29,10,0.29
dehumanization,14,95,4.55,1029,0.98,358.29,22,0.81
dehumanize,10,119,4.78,1001.89,0.71,383.72,27,0.79
dehumidified,12,4,1.39,1026.11,0.97,365.16,18,0.55
dehydrate,9,69,4.23,780.85,-0.06,263.63,33,0.97
dehydrated,10,348,5.85,741.43,-0.06,176.75,28,0.88
dehydration,11,441,6.09,840.81,0.09,247.59,31,0.94
deification,11,64,4.16,1213,1.64,362.27,11,0.38
deify,5,52,3.95,725.44,-0.12,243.97,16,0.53
deigned,7,48,3.87,961.6,1.1,412.59,10,0.3
deism,5,67,4.2,894.82,-0.02,505.57,11,0.33
deities,7,1087,6.99,972.2,0.48,539.82,15,0.54
deity,5,2212,7.7,686,-0.12,165.55,25,0.74
deject,6,2,0.69,684.96,-0.32,251.08,24,0.73
dejected,8,117,4.76,763.5,-0.14,255.68,28,0.85
dejectedly,10,53,3.97,1108.47,1.05,464.29,19,0.59
dejection,9,49,3.89,815.86,0.11,342.79,29,0.85
Delaware,8,3691,8.21,684.53,-0.39,152.24,32,0.94
delay,5,13068,9.48,656.26,-0.5,192.82,34,0.97
delayed,7,4977,8.51,709,-0.28,223.76,32,1
delays,6,3778,8.24,650.72,-0.47,247.82,32,0.97
delectable,10,196,5.28,875.18,0.43,301,28,0.85
delegate,8,1540,7.34,711.55,-0.26,156.92,33,0.97
delegated,9,698,6.55,745.81,-0.11,256.88,31,0.94
delegates,9,2897,7.97,723.82,-0.2,296.26,34,1
delegating,10,115,4.74,776.43,0.04,210.82,30,0.94
delegation,10,3025,8.01,800.79,0.11,311.2,33,0.97
delegations,11,432,6.07,771,0.03,215.59,31,0.94
delete,6,18824,9.84,600.39,-0.65,131.62,31,0.91
deleterious,11,348,5.85,866.36,0.28,320.35,11,0.37
deletion,8,958,6.86,773.77,0.01,282.03,30,0.91
Delhi,5,2877,7.96,744.56,0.01,235.39,25,0.76
deliberate,10,3342,8.11,722.32,-0.3,249.13,34,0.97
deliberately,12,5471,8.61,778.27,-0.03,302.64,33,1
deliberation,12,351,5.86,863.42,0.39,346.19,31,0.91
deliberations,13,292,5.68,805.39,0.17,270.12,33,0.97
delicacies,10,78,4.36,948.13,0.9,328,24,0.77
delicacy,8,248,5.51,813.48,-0.01,300.85,31,0.94
delicate,8,2797,7.94,635.73,-0.38,190.52,33,1
delicately,10,395,5.98,776.69,0.07,289.37,32,0.94
delicatessen,12,79,4.37,752.68,0.09,307.77,25,0.74
delicious,9,2481,7.82,753.61,-0.31,289.96,33,1
deliciously,11,261,5.56,724.63,-0.17,310.81,32,0.97
delight,7,3207,8.07,649.94,-0.44,247.18,32,0.97
delighted,9,2284,7.73,785.15,-0.17,332.11,33,1
delightful,10,1704,7.44,716.66,-0.27,212.46,35,1
delightfully,12,328,5.79,751.75,-0.21,192.92,32,1
delighting,10,74,4.3,846.64,0.11,381.02,33,0.97
delights,8,639,6.46,694,-0.34,252.54,33,0.97
delimit,7,114,4.74,1015.2,0.83,413.3,10,0.32
delimits,8,15,2.71,896.13,0.75,287.1,8,0.25
delineaments,12,0,0,942.5,0.99,258.15,10,0.38
delineate,9,167,5.12,932.39,0.54,424.91,23,0.74
delineated,10,273,5.61,960.45,0.63,418.64,20,0.61
delineating,11,79,4.37,861,0.73,216.57,20,0.63
delineation,11,133,4.89,901.94,0.51,326.15,18,0.58
delinquency,11,238,5.47,815.15,0.21,273.68,34,1
delinquent,10,344,5.84,709.53,-0.19,167.52,32,1
delinquents,11,107,4.67,859.74,0.22,277.04,31,0.97
delirious,9,259,5.56,852.35,0.1,350.44,31,0.91
delirium,8,435,6.08,828.75,0.1,322.27,24,0.73
deliver,7,9864,9.2,746.1,-0.28,344.76,31,0.97
deliverance,11,1020,6.93,706.85,-0.21,167.88,33,0.97
delivered,9,11493,9.35,653.11,-0.43,276.18,35,1
delivering,10,3261,8.09,671.56,-0.32,152.14,34,0.97
delivers,8,1982,7.59,700.24,-0.38,294.29,33,0.97
delivery,8,17823,9.79,692.52,-0.27,262.46,33,1
deliveryman,11,15,2.71,935.17,0.35,439.55,29,0.94
dell,4,6060,8.71,757.57,-0.15,239.19,28,0.82
dells,5,126,4.84,879.63,0.53,325.85,8,0.26
delouse,7,3,1.1,879.36,0.32,169.5,11,0.33
deloused,8,10,2.3,1006.42,0.69,398.04,12,0.39
Delphi,6,10226,9.23,866.89,0.05,317.88,27,0.87
Delphic,7,224,5.41,713.3,-0.04,106.14,10,0.31
delta,5,7338,8.9,565.55,-0.51,149.19,33,0.97
deltas,6,492,6.2,818.67,0.18,162.08,27,0.79
deltoid,7,45,3.81,947,0.54,250.18,22,0.67
deltoids,8,59,4.08,943.44,0.43,306.69,25,0.76
delude,6,305,5.72,753.64,-0.11,279.19,28,0.85
deluded,7,1078,6.98,749.1,-0.02,240.19,30,0.88
deluding,8,232,5.45,781.63,-0.09,314.45,24,0.75
deluge,6,718,6.58,729.04,-0.16,201.05,23,0.7
deluged,7,210,5.35,751.24,-0.01,244.97,21,0.64
delusion,8,2503,7.83,687.03,-0.31,188.97,32,0.97
delusory,8,29,3.37,935.36,0.81,285.63,14,0.44
deluxe,6,4709,8.46,801.6,-0.08,370.29,30,0.88
delve,5,612,6.42,749.06,0,207.98,18,0.56
delving,7,284,5.65,1050.88,0.86,431.24,17,0.52
demagnetize,11,16,2.77,1071.21,1.07,337.07,19,0.61
demagnification,15,0,0,1160.76,1.05,432.37,21,0.68
demagogue,9,581,6.36,853.36,0.58,168.78,14,0.42
demagogy,8,67,4.2,980.17,0.78,355.92,12,0.33
demand,6,25807,10.16,573.06,-0.73,210.2,34,1
demanded,8,3829,8.25,723.24,-0.33,345.49,33,0.97
demander,8,146,4.98,830.39,0.08,288.58,23,0.77
demanding,9,5487,8.61,686.52,-0.39,180.05,33,0.97
demandingly,11,7,1.95,971.43,0.48,416.03,28,0.88
demands,7,8414,9.04,578.33,-0.77,136.26,33,1
demarcate,9,30,3.4,864.75,0.18,323.5,12,0.4
demarcated,10,63,4.14,962.08,0.74,310.46,12,0.4
demarcation,11,287,5.66,1058,1.07,435.33,11,0.35
demean,6,307,5.73,844.13,0.21,226.55,15,0.47
demeanor,8,668,6.5,817.3,-0.02,422.39,33,0.97
demeans,7,62,4.13,865,0.38,297.89,16,0.53
dement,6,76,4.33,790.5,0.23,269.26,22,0.67
demented,8,826,6.72,737.71,-0.2,178.12,31,0.91
demerit,7,39,3.66,1009.32,0.6,328.91,22,0.69
demigod,7,174,5.16,908.47,0.68,347.85,15,0.44
demilitarize,12,13,2.56,1262.33,1.38,510.4,21,0.68
demineralization,16,9,2.2,1169.28,1.39,343.58,18,0.78
demise,6,2332,7.75,765.72,-0.26,336.78,29,0.88
demo,4,24690,10.11,600.97,-0.56,110.65,31,0.94
demobilization,14,18,2.89,959.85,0.74,272.24,27,0.93
demobilize,10,5,1.61,939.07,0.47,272.41,29,0.88
democracies,11,747,6.62,901.17,0.32,354,29,0.94
democracy,9,16987,9.74,694.06,-0.47,279.61,33,1
